entrez_id,logFC,PValue,,
7153,9.666760909,1.12E-37,,
51555,-9.08717821,1.09E-36,,
6241,8.980118778,2.84E-35,,
386618,-9.286326423,3.77E-35,,
26289,-8.663425387,2.50E-29,,
9928,7.244726133,2.69E-28,,
9787,9.412290636,6.42E-27,,
55355,9.137332615,1.70E-26,,
10643,5.809467155,3.64E-25,,
54478,8.604476496,4.34E-25,,
10403,7.706187128,4.39E-25,,
64168,-6.33937226,1.96E-24,,
8329,7.184999277,2.26E-24,,
51514,6.026112304,3.57E-24,,
8437,-8.107848267,3.73E-24,,
93377,-13.20532611,6.78E-24,,
9700,7.977489036,1.17E-23,,
4318,10.61057098,1.56E-23,,
5328,6.109284993,2.41E-23,,
7465,5.536971069,2.65E-23,,
55872,8.239350111,5.02E-23,,
374393,6.905790213,6.31E-23,,
4605,10.58032117,6.36E-23,,
4288,7.918379084,7.10E-23,,
51330,7.137350522,8.01E-23,,
3775,-7.438114446,1.27E-22,,
3236,12.51451787,1.33E-22,,
9717,-7.930244689,1.44E-22,,
64151,6.879346407,2.24E-22,,
134548,-6.123695362,2.34E-22,,
10112,8.572044153,2.66E-22,,
154215,-10.41828688,5.09E-22,,
2305,7.413062393,6.69E-22,,
10630,4.780937922,1.21E-21,,
9833,8.026372294,1.30E-21,,
8318,7.675504006,4.86E-21,,
282973,-5.85655089,5.82E-21,,
57082,6.172362389,6.35E-21,,
24137,6.651396225,1.03E-20,,
51512,6.346389617,1.24E-20,,
55388,7.935830757,1.74E-20,,
51203,6.689413406,1.88E-20,,
701,5.863759848,3.57E-20,,
7076,5.90906331,4.20E-20,,
7422,5.64297045,5.22E-20,,
3007,4.895047631,5.46E-20,,
10788,5.719855063,7.33E-20,,
3206,12.61014943,7.36E-20,,
50859,-9.84708423,9.38E-20,,
9133,6.658935482,9.97E-20,,
6913,5.769145839,1.71E-19,,
5274,-6.271944615,1.90E-19,,
1281,8.547881341,2.00E-19,,
64857,4.567242219,4.32E-19,,
11065,8.473778927,4.34E-19,,
3009,8.520516961,6.55E-19,,
1282,7.543249397,7.20E-19,,
3833,6.295714014,7.29E-19,,
256472,-7.278600508,7.35E-19,,
54842,-3.73742251,9.80E-19,,
1740,-5.028424754,1.04E-18,,
3204,10.6972069,1.20E-18,,
2316,4.41656821,1.28E-18,,
23601,8.974512811,2.19E-18,,
983,5.173466134,2.72E-18,,
139221,-5.693575563,3.01E-18,,
871,4.989779678,3.11E-18,,
259266,7.64734327,3.21E-18,,
4015,6.165283121,3.74E-18,,
83879,5.96896921,3.87E-18,,
3237,11.18713084,4.55E-18,,
9212,7.451763165,4.91E-18,,
1292,4.876189321,5.74E-18,,
10396,-4.990823099,8.15E-18,,
100189589,-7.561439795,8.38E-18,,
9829,-4.314638632,1.05E-17,,
123041,-5.343288502,1.35E-17,,
55165,6.232365637,1.43E-17,,
3200,10.15691427,1.61E-17,,
79682,5.748515477,1.70E-17,,
10966,-4.514014626,2.26E-17,,
150468,5.227451429,2.77E-17,,
80000,-6.837640425,2.82E-17,,
57571,-9.695974726,3.25E-17,,
7272,6.451939457,3.47E-17,,
8356,8.039854002,4.43E-17,,
11033,-5.089034126,4.84E-17,,
5872,4.135578241,5.05E-17,,
6281,4.787059968,5.63E-17,,
8969,6.018884812,7.25E-17,,
134265,4.211391043,8.98E-17,,
3202,10.88911651,9.03E-17,,
144455,7.40777543,9.22E-17,,
9464,8.317415515,1.25E-16,,
5924,-5.009771074,1.36E-16,,
10763,5.771343696,1.82E-16,,
64506,-4.268991872,2.04E-16,,
554235,-5.550544268,2.34E-16,,
84617,5.053525982,2.55E-16,,
56265,8.174237295,2.71E-16,,
5923,-8.160243949,2.99E-16,,
3235,10.50351172,4.85E-16,,
85453,-4.274926664,5.35E-16,,
7093,-4.484425562,5.65E-16,,
10024,11.60734951,5.70E-16,,
5836,3.657538118,5.71E-16,,
730130,-7.453557484,7.37E-16,,
2565,-8.579362952,7.50E-16,,
22918,5.093829508,7.74E-16,,
146909,6.776787444,8.48E-16,,
157313,6.445676945,1.12E-15,,
1058,6.465121851,1.27E-15,,
57471,-10.1476717,1.31E-15,,
10721,4.815133209,1.59E-15,,
84735,-8.943070499,1.92E-15,,
6279,10.62240695,2.40E-15,,
2019,8.135937334,2.40E-15,,
135112,-3.487158104,2.67E-15,,
5077,8.061110383,3.05E-15,,
302,5.671518291,3.27E-15,,
54821,7.026391311,3.45E-15,,
340554,-6.330936918,3.91E-15,,
222537,-7.026589959,3.93E-15,,
1183,-3.656821998,4.62E-15,,
26472,3.456978919,4.63E-15,,
4188,6.007206262,5.31E-15,,
2335,4.755652995,5.69E-15,,
7431,5.259991937,5.71E-15,,
1111,4.102697027,5.82E-15,,
7035,5.153122674,6.03E-15,,
220134,6.291060877,6.08E-15,,
55215,3.628335664,6.23E-15,,
1870,8.396255892,6.29E-15,,
3209,10.95322834,6.60E-15,,
26585,-8.036279085,6.72E-15,,
57467,-6.51323426,6.96E-15,,
11082,8.20940076,7.44E-15,,
79019,5.760199679,7.57E-15,,
9493,5.736716513,7.59E-15,,
9053,-6.476925084,7.80E-15,,
4609,3.759679139,8.01E-15,,
388523,-7.263761083,8.14E-15,,
57664,5.232612421,8.15E-15,,
4192,5.857583524,9.43E-15,,
55723,5.70309331,1.01E-14,,
332,5.88604287,1.09E-14,,
79733,6.348790484,1.41E-14,,
145258,7.7258263,1.42E-14,,
128239,6.235190435,1.49E-14,,
995,6.416164656,1.59E-14,,
64105,4.968227613,1.92E-14,,
25769,-7.405945083,2.30E-14,,
493869,5.653813479,2.31E-14,,
115273,6.254038915,2.60E-14,,
9185,-6.153976167,2.68E-14,,
9180,4.631660999,2.69E-14,,
8463,5.424457411,3.65E-14,,
79968,3.595808193,3.97E-14,,
55117,-7.811936159,4.23E-14,,
3203,10.23253564,4.42E-14,,
6909,5.181639189,4.57E-14,,
1663,3.492164293,5.08E-14,,
8351,4.002984994,6.58E-14,,
7041,5.840866306,6.93E-14,,
9674,4.660055688,7.29E-14,,
4118,-8.931125313,8.03E-14,,
9156,5.307125964,8.23E-14,,
23017,-4.83298381,8.86E-14,,
11004,7.143472676,9.25E-14,,
338,-5.379771433,1.08E-13,,
5649,-6.747333558,1.12E-13,,
11076,-6.407989507,1.12E-13,,
8407,3.556520397,1.18E-13,,
6280,7.112018917,1.36E-13,,
55966,-5.807880869,1.37E-13,,
56163,-7.376271225,1.52E-13,,
11275,-2.807503412,1.67E-13,,
60495,-6.220999651,1.80E-13,,
55504,4.628177812,1.81E-13,,
114792,-6.019867454,1.83E-13,,
23149,-4.607286616,1.90E-13,,
3976,8.6024862,1.90E-13,,
130399,-6.49325274,1.99E-13,,
83990,5.088908745,2.03E-13,,
933,-7.846956489,2.10E-13,,
3765,-4.042844022,2.17E-13,,
10382,-5.91255172,2.24E-13,,
1978,4.190460542,2.30E-13,,
20,-4.938067102,2.55E-13,,
4060,4.898052208,2.66E-13,,
84084,-7.831731437,2.74E-13,,
84440,-4.352362892,2.77E-13,,
54033,-6.505313335,2.79E-13,,
6608,3.710300943,3.34E-13,,
10460,4.555660637,3.43E-13,,
8471,-6.591822633,3.52E-13,,
57554,-7.824331012,3.78E-13,,
64714,-5.291753415,3.95E-13,,
84733,4.395311384,4.06E-13,,
