entrez_id,symbol,logFC,logCPM,LR,p_value,FDR
57528,KCTD16,-4.999311597,5.175372295,51.62205745,6.73E-13,8.69E-09
22849,CPEB3,-3.572362905,4.687133497,47.10362696,6.73E-12,4.35E-08
401474,SAMD12,-3.888779864,5.767575221,45.36469707,1.64E-11,7.04E-08
59338,PLEKHA1,-2.454699859,5.825989911,43.92102658,3.42E-11,1.10E-07
26034,IPCEF1,-3.842919352,4.793851113,42.93873064,5.65E-11,1.24E-07
22848,AAK1,-3.965858477,5.823811219,42.89729635,5.77E-11,1.24E-07
1620,BRINP1,-4.374049376,2.83447796,42.42264607,7.35E-11,1.36E-07
306,ANXA3,-3.919524412,3.335166737,41.07606674,1.46E-10,2.36E-07
6616,SNAP25,-5.860460171,8.286465911,39.94999212,2.61E-10,3.74E-07
5305,PIP4K2A,-3.294113357,7.013236319,39.26800238,3.69E-10,4.77E-07
257194,NEGR1,-4.478221211,5.054545952,38.87973049,4.51E-10,5.29E-07
259217,HSPA12A,-3.782439254,5.638470617,38.64347673,5.09E-10,5.48E-07
79739,TTLL7,-2.559050782,6.903842936,38.23319865,6.28E-10,6.24E-07
481,ATP1B1,-3.150738521,8.674396548,37.63360764,8.54E-10,7.59E-07
3356,HTR2A,-5.567473184,5.268953418,37.33234676,9.96E-10,7.59E-07
100131067,CKMT2-AS1,-3.142343914,4.812340277,37.13195844,1.10E-09,7.59E-07
26033,ATRNL1,-3.992618526,8.414965822,37.06220815,1.14E-09,7.59E-07
63939,FAM217B,-1.535911065,6.445067114,37.03688508,1.16E-09,7.59E-07
5860,QDPR,-2.666825044,7.370458645,37.02619866,1.17E-09,7.59E-07
158399,ZNF483,-3.027340991,7.402092705,36.91766712,1.23E-09,7.59E-07
23348,DOCK9,-2.567558449,6.940936207,36.9142449,1.23E-09,7.59E-07
23301,EHBP1,-4.798601309,3.809600387,36.61725643,1.44E-09,7.88E-07
80036,TRPM3,-4.698014336,3.730803097,36.54512154,1.49E-09,7.88E-07
6857,SYT1,-6.024440357,7.527634671,36.51126946,1.52E-09,7.88E-07
2785,GNG3,-5.101111743,5.485987153,36.50149392,1.53E-09,7.88E-07
6579,SLCO1A2,-4.806382097,6.00457301,36.08758626,1.89E-09,9.37E-07
23114,NFASC,-4.176029283,4.868713584,35.39830438,2.69E-09,1.27E-06
51701,NLK,-2.198419518,7.121355133,35.35494241,2.75E-09,1.27E-06
