entrez_id,logFC,PValue
57528,-4.999311597,6.73E-13
22849,-3.572362905,6.73E-12
401474,-3.888779864,1.64E-11
59338,-2.454699859,3.42E-11
26034,-3.842919352,5.65E-11
22848,-3.965858477,5.77E-11
1620,-4.374049376,7.35E-11
306,-3.919524412,1.46E-10
6616,-5.860460171,2.61E-10
5305,-3.294113357,3.69E-10
257194,-4.478221211,4.51E-10
259217,-3.782439254,5.09E-10
79739,-2.559050782,6.28E-10
481,-3.150738521,8.54E-10
3356,-5.567473184,9.96E-10
100131067,-3.142343914,1.10E-09
26033,-3.992618526,1.14E-09
63939,-1.535911065,1.16E-09
5860,-2.666825044,1.17E-09
158399,-3.027340991,1.23E-09
23348,-2.567558449,1.23E-09
23301,-4.798601309,1.44E-09
80036,-4.698014336,1.49E-09
6857,-6.024440357,1.52E-09
2785,-5.101111743,1.53E-09
6579,-4.806382097,1.89E-09
23114,-4.176029283,2.69E-09
51701,-2.198419518,2.75E-09
134957,-2.51544853,3.24E-09
9912,-4.183490049,3.31E-09
58155,-1.822528716,3.38E-09
152926,-1.835335775,3.66E-09
114876,-2.104854912,4.23E-09
5924,-3.585998744,4.29E-09
84940,-4.201714843,4.56E-09
5567,-2.10126481,5.34E-09
1006,-5.12026973,5.35E-09
148808,-4.163157631,5.44E-09
10631,4.359140383,5.81E-09
5602,-2.326576306,6.46E-09
9829,-3.211253176,6.72E-09
6326,-4.366310546,6.81E-09
121601,-4.420120295,7.49E-09
63908,-3.561406543,7.84E-09
8034,-2.646187485,8.26E-09
7881,-3.861855016,8.53E-09
196410,3.039406456,9.19E-09
10801,1.807168592,9.26E-09
57578,-3.333630752,1.05E-08
286097,-2.258566513,1.10E-08
287,-4.307552043,1.15E-08
84280,-2.500481688,1.18E-08
23507,-2.869843688,1.24E-08
288,-4.687974806,1.25E-08
6472,1.986912437,1.27E-08
26052,-2.737745638,1.35E-08
159195,-2.216277516,1.59E-08
55314,-3.949896528,1.67E-08
7447,-5.633320478,1.75E-08
27244,-1.656441284,1.79E-08
338811,-5.208903916,1.90E-08
202151,-2.887062835,1.90E-08
80013,-2.539445161,2.02E-08
3798,-3.922741745,2.02E-08
79789,-2.610319133,2.22E-08
51761,-5.609537965,2.22E-08
9472,-2.073030718,2.29E-08
5274,-4.192669072,2.35E-08
8395,-3.605024682,2.56E-08
7004,2.462114777,2.57E-08
5797,-1.820939773,2.69E-08
23710,-2.077892435,2.92E-08
57460,-2.737380934,3.02E-08
8301,-2.635496884,3.12E-08
154661,-3.24491787,3.17E-08
54843,-3.011435874,3.29E-08
55532,-2.481643989,3.58E-08
6262,-5.623823683,3.85E-08
10130,1.357320179,4.25E-08
2530,-2.050889753,4.30E-08
6843,-4.713487962,4.37E-08
8999,-3.549739271,4.37E-08
119391,-2.913241075,4.39E-08
8828,1.947934451,4.45E-08
200407,-5.101980517,4.87E-08
23287,-2.402183548,5.09E-08
3422,-2.175782845,5.11E-08
59084,-3.501859872,5.13E-08
10231,-2.928062904,5.35E-08
57520,-2.332521444,5.36E-08
9601,2.011891624,5.50E-08
6812,-2.720254765,5.69E-08
