entrez_id,logFC,PValue
9764,-4.262184451,3.54E-77
4905,-2.808335801,2.35E-69
5601,-2.164274992,1.09E-66
5058,-3.143254922,3.85E-64
10645,-2.563621199,5.63E-64
80863,-3.499880305,6.70E-63
9495,-4.089612041,3.38E-61
5581,-3.450512592,1.22E-60
9145,-3.584036624,1.18E-59
57118,-3.369087085,1.23E-58
57469,-3.95953248,9.88E-58
23031,-3.714197679,2.36E-56
8867,-2.665495493,1.97E-55
7259,-2.573748259,2.75E-55
22849,-3.736824536,8.36E-55
401474,-4.316052529,3.67E-54
285172,-2.315725788,4.25E-54
6326,-4.061430347,5.38E-54
23154,-3.609789343,7.39E-54
644596,-4.109928904,1.43E-53
9581,-2.283012354,2.01E-53
63908,-4.296102997,2.23E-53
5924,-3.966527024,4.75E-53
6792,-3.897298622,9.08E-53
151835,-4.468689424,3.47E-52
2805,-2.892009697,6.69E-52
1742,-2.870986137,5.75E-51
5532,-2.70491869,7.84E-51
54438,-3.6413498,4.99E-50
5534,-2.109102012,1.26E-49
11127,-2.604196528,1.79E-49
374986,-2.231396588,1.57E-48
6812,-3.821417572,1.62E-48
9746,-2.994494252,2.41E-48
79762,-4.214633898,2.89E-48
2744,-2.709656467,3.27E-48
9854,-2.219995421,5.36E-48
148808,-4.117627577,6.76E-48
808,-2.414261381,1.58E-47
5582,-5.913432106,2.01E-47
114928,-2.269498828,2.58E-47
57468,-5.076622158,4.00E-47
5530,-2.291811414,4.18E-47
64218,-3.514498415,9.33E-47
9340,-5.644014254,1.27E-46
59338,-2.46353047,1.44E-46
6334,-3.669157445,2.26E-46
345079,-5.273063668,2.72E-46
1740,-3.964355392,4.65E-46
6262,-5.709966889,5.50E-46
23335,-2.195320417,7.07E-46
4208,-2.668275819,7.57E-46
442117,-4.806130548,1.00E-45
8507,-3.653677131,1.36E-45
100130311,-3.32008533,1.46E-45
83873,-4.115965338,1.65E-45
8514,-3.750397993,1.84E-45
523,-2.09147295,2.71E-45
1123,-3.331836773,5.61E-45
23416,-3.984629173,7.02E-45
56924,-4.22343617,1.03E-44
9317,-4.567487703,1.33E-44
528,-1.982942189,2.31E-44
51062,-2.88138276,4.30E-44
54472,-2.20622441,4.52E-44
197187,-2.517525076,5.18E-44
4185,-4.064978266,5.36E-44
7881,-3.388472532,7.40E-44
147746,-5.204356955,7.81E-44
26034,-4.063295211,1.66E-43
266812,-2.513301971,4.13E-43
55294,-2.70789916,4.92E-43
114824,-5.862605423,5.77E-43
5297,-2.793134645,6.93E-43
6804,-3.847479051,1.01E-42
9737,-3.280180392,1.32E-42
400745,-4.58235777,1.97E-42
390937,-4.079500939,2.97E-42
286097,-3.000225084,3.17E-42
7532,-2.210755712,4.09E-42
8927,-4.44967067,5.31E-42
23362,-3.027636133,6.19E-42
9891,-3.024241583,6.42E-42
23710,-2.749018628,8.22E-42
5575,-3.019689097,8.51E-42
56970,-1.830274457,1.38E-41
7533,-2.516863992,1.65E-41
782,-3.183825539,1.67E-41
127703,-1.916817704,2.13E-41
2904,-5.642847336,2.67E-41
116443,-4.583779874,2.82E-41
134957,-3.253988034,3.06E-41
57718,-4.914427844,3.33E-41
23017,-3.519360766,6.18E-41
2036,-2.614881357,6.25E-41
288,-4.008445522,6.50E-41
1183,-2.970746964,6.54E-41
23077,-2.632297617,8.16E-41
6416,-1.990633872,9.23E-41
255022,-5.245821548,1.01E-40
57554,-4.43610231,1.01E-40
5579,-4.389076661,1.97E-40
4145,-4.01495046,2.69E-40
259217,-3.679857036,3.28E-40
6327,-4.382699871,4.68E-40
84254,-3.956887951,4.83E-40
22866,-3.267176342,5.21E-40
27165,-3.85926565,5.76E-40
282974,-2.669575916,6.06E-40
401190,-4.342394826,6.95E-40
135112,-2.697293278,9.71E-40
23413,-3.177908194,1.04E-39
9829,-3.611970548,1.33E-39
6855,-4.070167709,1.76E-39
8945,-2.202771414,2.28E-39
9912,-4.341533012,2.63E-39
64112,-2.396952118,3.85E-39
1759,-3.996780378,5.06E-39
5413,-3.075018317,7.15E-39
84926,-2.489307184,8.74E-39
23125,-2.174366646,9.54E-39
3595,-4.100112036,1.28E-38
535,-2.166703946,1.41E-38
22848,-2.523460954,1.49E-38
90113,-3.766645046,1.50E-38
6844,-2.58826562,1.63E-38
399829,-4.883572624,2.36E-38
64837,-2.315353683,3.14E-38
23109,-5.421375706,3.36E-38
26038,-5.47439545,3.54E-38
8541,-3.223620209,4.44E-38
23281,-4.669829961,5.42E-38
26059,-3.90021547,5.51E-38
51606,-1.827165333,6.77E-38
131408,-1.968737125,9.92E-38
27296,-2.930011261,1.02E-37
4130,-3.197130554,1.25E-37
8526,-3.72813733,1.31E-37
23467,-3.752112887,1.38E-37
79751,-2.602753713,1.40E-37
11069,-3.791754333,1.71E-37
51761,-5.317800973,1.85E-37
6622,-4.116948805,2.99E-37
80737,-3.837127387,3.14E-37
8567,-2.307329042,3.53E-37
6854,-4.988720445,4.62E-37
8437,-5.359451567,6.29E-37
493829,-3.577807722,6.35E-37
7087,-4.778089882,6.97E-37
55228,-2.379298664,8.15E-37
84251,-3.210501292,1.51E-36
51195,-2.989778159,1.71E-36
5864,-4.197490679,1.92E-36
1258,-5.9026887,2.16E-36
5138,-4.216117959,3.60E-36
145567,-2.180830786,3.75E-36
5136,-4.071989999,3.83E-36
8997,-3.082290031,4.07E-36
2039,-3.748038884,4.29E-36
389941,-5.750489205,6.21E-36
3797,-2.774810778,6.97E-36
112755,-3.996391643,7.20E-36
814,-3.898550491,9.71E-36
65985,-1.966631328,1.00E-35
9796,-4.64111073,1.41E-35
130507,-1.767068735,1.49E-35
83394,-3.920408111,1.87E-35
64168,-3.357943557,2.87E-35
7781,-5.003045057,3.89E-35
492,-5.24577891,5.05E-35
10479,-2.134686622,6.49E-35
146760,-4.770051273,6.77E-35
9840,-5.156328761,7.54E-35
283848,-3.93584168,8.55E-35
55800,-4.526159701,1.00E-34
283638,-3.270538591,1.30E-34
134548,-4.157009203,1.30E-34
7008,-2.924166259,1.35E-34
338811,-4.201015042,1.41E-34
22987,-4.991034251,1.90E-34
9722,-3.326414724,1.92E-34
5604,-1.88702733,1.93E-34
5153,-3.539570632,2.11E-34
22911,-2.0612712,2.24E-34
3786,-3.339232009,2.35E-34
22841,-1.933406111,2.37E-34
57495,-5.761629662,3.33E-34
155051,-4.012278815,5.09E-34
51807,-3.572945965,7.05E-34
9148,-4.248611272,7.73E-34
51277,-1.837729141,8.23E-34
23492,-2.969740371,9.43E-34
6543,-5.211916682,1.04E-33
22924,-2.373246705,1.04E-33
23349,-4.850224009,1.05E-33
23096,-2.745735323,1.66E-33
7068,-3.067270796,1.78E-33
400553,-4.950005469,1.85E-33
10681,-2.020890708,2.05E-33
322,-2.242200901,2.14E-33
11215,-2.127543577,2.41E-33
147,-3.736706583,3.08E-33
84448,-3.048213915,3.48E-33
200407,-5.142119944,3.84E-33
9228,-5.258755183,5.69E-33
7480,-4.926821932,6.44E-33
9910,-1.883713556,7.45E-33
5923,-4.640314978,7.56E-33
146206,-4.069309099,8.92E-33
8911,-4.875602261,9.51E-33
22853,-2.474510101,1.24E-32
6753,-5.176408548,1.50E-32
116369,-3.897943725,1.50E-32
222865,-5.017505043,1.72E-32
53344,-2.044234698,2.00E-32
254531,-2.189429528,2.01E-32
25758,-3.191452216,2.08E-32
9853,-2.609614697,2.82E-32
3778,-2.79233639,3.37E-32
2774,-3.82537671,3.46E-32
1639,-1.995540444,3.67E-32
758,-5.270373286,4.24E-32
84918,-2.304590601,4.52E-32
3761,-4.540050434,4.56E-32
1741,-2.518354054,4.60E-32
4294,-2.539371237,4.77E-32
139728,-3.779376035,4.86E-32
770,-3.528107349,4.94E-32
57731,-3.10670029,6.38E-32
599,-2.540896497,6.48E-32
146057,-2.078014132,6.64E-32
161725,-3.470624261,6.73E-32
25859,-4.01040907,6.78E-32
9899,-5.501498513,7.15E-32
815,-5.170837566,7.78E-32
83660,-2.564771665,8.29E-32
59350,-4.925359295,8.70E-32
23504,-4.564784614,8.98E-32
79885,-2.529439395,9.86E-32
9758,-5.173598901,1.00E-31
84253,-2.447748646,1.09E-31
389197,-5.180553336,1.21E-31
57282,-4.125834879,1.36E-31
1838,-1.961794075,1.57E-31
30845,-2.942960999,1.61E-31
388662,-5.117037609,1.65E-31
9185,-3.975507172,1.86E-31
57460,-3.189339371,1.87E-31
51725,-4.853260994,1.98E-31
23466,-2.547640198,2.37E-31
114781,-2.27827911,2.47E-31
5048,-1.566488503,2.48E-31
79955,-3.307419572,2.97E-31
55359,-5.159042973,3.18E-31
10966,-2.959192039,3.25E-31
256714,-4.673540852,3.33E-31
89801,-2.348235145,3.56E-31
10444,-1.81534933,3.70E-31
58512,-4.2515967,3.97E-31
6712,-3.799185625,4.71E-31
55466,-2.951741303,5.24E-31
9751,-2.810927976,5.82E-31
64061,-2.753666166,6.84E-31
57692,-3.581416258,6.92E-31
63982,-4.543108608,8.31E-31
283267,-1.936657632,9.28E-31
150726,-3.154894467,1.06E-30
10396,-3.662489707,1.07E-30
9108,-3.340137583,1.20E-30
8448,-4.375750181,1.25E-30
388403,-2.227206832,1.30E-30
4868,-3.430681479,1.39E-30
6545,-4.579549921,1.51E-30
220202,-3.785030452,1.54E-30
785,-2.81563648,1.67E-30
10507,-3.045417251,1.82E-30
113220,-5.585159143,1.92E-30
29953,-5.485493853,1.92E-30
56341,-4.432935676,1.98E-30
9922,-2.369189773,2.14E-30
132332,-4.468857345,2.41E-30
63974,-6.115423302,2.64E-30
8925,-2.224904768,2.70E-30
54842,-2.590832998,3.13E-30
27445,-4.640261378,3.16E-30
2046,-4.253936213,3.39E-30
55530,-5.287217483,3.44E-30
4675,-2.72527942,3.64E-30
84440,-3.742061861,3.96E-30
3706,-3.21280103,4.11E-30
9369,-4.288012421,4.12E-30
260293,-3.859420476,4.68E-30
54550,-4.07785705,4.90E-30
6857,-5.008649692,6.37E-30
1032,-2.535521047,6.81E-30
164832,-3.263808454,7.31E-30
266743,-5.006132819,7.58E-30
51361,-4.644948978,8.55E-30
29993,-5.321825747,1.06E-29
144423,-4.443759336,1.12E-29
79369,-3.084212896,1.12E-29
192683,-2.568388152,1.14E-29
25830,-5.105625528,1.16E-29
6623,-4.297952188,1.20E-29
774,-5.213187604,1.24E-29
8525,-2.264084097,1.38E-29
163882,-1.719443729,1.55E-29
2902,-5.651801405,1.77E-29
4900,-4.383719071,2.42E-29
10314,-1.871271095,2.51E-29
3708,-2.902594127,2.51E-29
23270,-2.293167059,2.57E-29
6750,-5.216013053,3.02E-29
54704,-2.516102035,3.42E-29
246330,-2.356733752,3.71E-29
5961,-3.875277958,3.82E-29
146330,-4.070897352,4.07E-29
9908,-1.398024814,4.35E-29
9693,-2.129472766,4.43E-29
26289,-4.656051215,5.51E-29
11076,-4.26367845,6.73E-29
54557,-1.879753611,7.05E-29
10858,-3.197800601,7.76E-29
79605,-2.983411329,8.06E-29
